Well,Variety,Fertilization,Rep,Domestication,Olsen_P
B9,LA1698,Unfertilized,9,Wild,2.01863354
C9,LA1580,Unfertilized,1,Wild,1.397515528
D9,LA1580,Fertilized,3,Wild,2.639751553
E9,LA1519,Unfertilized,5,Wild,2.639751553
F9,LA1519,Fertilized,7,Wild,2.329192547
G9,LA0716,Unfertilized,9,Wild,2.01863354
B10,LA1698,Unfertilized,10,Wild,2.639751553
C10,LA1580,Unfertilized,2,Wild,2.950310559
D10,LA1580,Fertilized,4,Wild,3.260869565
E10,LA1519,Unfertilized,6,Wild,2.639751553
F10,LA1519,Fertilized,8,Wild,2.950310559
G10,LA0716,Unfertilized,10,Wild,1.086956522
B11,LA1698,Fertilized,1,Wild,3.881987578
C11,LA1580,Unfertilized,3,Wild,3.260869565
D11,LA1580,Fertilized,5,Wild,3.571428571
E11,LA1519,Unfertilized,7,Wild,4.192546584
F11,LA1519,Fertilized,9,Wild,1.086956522
G11,LA0716,Fertilized,1,Wild,5.124223602
B12,LA1698,Fertilized,2,Wild,2.639751553
C12,LA1580,Unfertilized,4,Wild,3.571428571
D12,LA1580,Fertilized,6,Wild,2.950310559
E12,LA1519,Unfertilized,8,Wild,2.950310559
F12,LA1519,Fertilized,10,Wild,3.881987578
G12,LA0716,Fertilized,2,Wild,2.01863354
H1,LA0716,Fertilized,3,Wild,7.608695652
H2,LA0716,Fertilized,5,Wild,6.98757764
H3,LA0716,Fertilized,7,Wild,5.434782609
H4,LA0716,Fertilized,8,Wild,75.62111801
H5,LA0716,Fertilized,9,Wild,4.50310559
H6,LA0716,Fertilized,10,Wild,9.161490683
