Variety,Domestication,Fertilization,Rep,P_mg/kg,P_mg/g,P_Content_mg/shoot,Note
B Pink,Traditional,Fertilized,1,3435.950404,3.435950404,26.01976522,
B Pink,Traditional,Fertilized,2,2370.104013,2.370104013,16.23426445,
B Pink,Traditional,Fertilized,3,1501.17853,1.50117853,7.912411796,
B Pink,Traditional,Fertilized,4,1262.993556,1.262993556,7.976056905,
B Pink,Traditional,Fertilized,5,2183.869979,2.183869979,16.80728175,
B Pink,Traditional,Fertilized,6,1545.8259,1.5458259,9.411915575,
B Pink,Traditional,Fertilized,7,2125.569517,2.125569517,11.43110031,
B Pink,Traditional,Fertilized,8,1413.300335,1.413300335,8.90322679,
B Pink,Traditional,Fertilized,9,1699.306358,1.699306358,14.34027642,
B Pink,Traditional,Fertilized,10,1535.026529,1.535026529,7.32422558,
Rutgers,Traditional,Unfertilized,1,1443.202624,1.443202624,6.353266591,
Rutgers,Traditional,Unfertilized,2,1426.127226,1.426127226,7.930836117,
Rutgers,Traditional,Unfertilized,3,1575.887776,1.575887776,9.25881345,
Rutgers,Traditional,Unfertilized,4,1830.545298,1.830545298,10.21462582,
Rutgers,Traditional,Unfertilized,5,1389.343466,1.389343466,7.396169941,
Rutgers,Traditional,Unfertilized,6,1208.764392,1.208764392,6.569392718,
Rutgers,Traditional,Unfertilized,7,1492.441613,1.492441613,6.336907089,
Rutgers,Traditional,Unfertilized,8,1256.269416,1.256269416,6.423682405,
Rutgers,Traditional,Unfertilized,9,1385.559656,1.385559656,8.011721599,
Rutgers,Traditional,Unfertilized,10,1660.438536,1.660438536,8.301362461,
Rutgers,Traditional,Fertilized,1,4002.389088,4.002389088,20.48422735,
Rutgers,Traditional,Fertilized,2,3374.102118,3.374102118,27.57991071,
Rutgers,Traditional,Fertilized,3,4051.529917,4.051529917,28.2764376,
Rutgers,Traditional,Fertilized,4,2243.328279,2.243328279,16.16026392,
Rutgers,Traditional,Fertilized,5,4759.700434,4.759700434,42.74353781,
Rutgers,Traditional,Fertilized,6,3290.928,3.290928,14.16579958,
Rutgers,Traditional,Fertilized,7,1460.198724,1.460198724,10.70895142,
Rutgers,Traditional,Fertilized,8,3029.974829,3.029974829,18.59283454,
Rutgers,Traditional,Fertilized,9,3825.844882,3.825844882,29.4414067,
Rutgers,Traditional,Fertilized,10,4680.418,4.680418,26.25948519,
Bobcat,Modern,Unfertilized,1,1737.36542,1.73736542,7.706953003,
Bobcat,Modern,Unfertilized,2,,,,Sample Broken During Digest
Bobcat,Modern,Unfertilized,3,1690.533351,1.690533351,7.670964133,
Bobcat,Modern,Unfertilized,4,1602.659986,1.602659986,6.157419666,
Bobcat,Modern,Unfertilized,5,1545.634295,1.545634295,8.227565916,
Bobcat,Modern,Unfertilized,6,1429.263374,1.429263374,7.219923934,
Bobcat,Modern,Unfertilized,7,2786.273844,2.786273844,7.932243006,
Bobcat,Modern,Unfertilized,8,1305.428839,1.305428839,6.333026927,
Bobcat,Modern,Unfertilized,9,1293.510872,1.293510872,6.757947551,
Bobcat,Modern,Unfertilized,10,1467.543145,1.467543145,6.787680554,
Bobcat,Modern,Fertilized,1,2419.696031,2.419696031,12.92432241,
Bobcat,Modern,Fertilized,2,1761.682263,1.761682263,14.42095484,
Bobcat,Modern,Fertilized,3,2554.014237,2.554014237,16.17278435,
Bobcat,Modern,Fertilized,4,2972.483402,2.972483402,20.73990844,
Bobcat,Modern,Fertilized,5,1855.084721,1.855084721,12.18697907,
Bobcat,Modern,Fertilized,6,1862.324511,1.862324511,13.49868675,
Bobcat,Modern,Fertilized,7,2471.303002,2.471303002,22.55063989,
Bobcat,Modern,Fertilized,8,2907.07674,2.90707674,21.07630637,
Bobcat,Modern,Fertilized,9,2725.387705,2.725387705,20.87728744,
Bobcat,Modern,Fertilized,10,1913.051369,1.913051369,14.80491324,
Quali T ,Modern,Unfertilized,1,957.0597149,0.957059715,4.487365885,
Quali T ,Modern,Unfertilized,2,1258.371725,1.258371725,6.662700772,
Quali T ,Modern,Unfertilized,3,1571.455543,1.571455543,7.646702672,
Quali T ,Modern,Unfertilized,4,876.0106956,0.876010696,3.947479397,
Quali T ,Modern,Unfertilized,5,932.0393635,0.932039364,4.758899786,
Quali T ,Modern,Unfertilized,6,2069.990719,2.069990719,5.299590239,
Quali T ,Modern,Unfertilized,7,1013.277014,1.013277014,4.624089653,
Quali T ,Modern,Unfertilized,8,1125.384481,1.125384481,4.553193072,
Quali T ,Modern,Unfertilized,9,1186.081893,1.186081893,6.672185081,
Quali T ,Modern,Unfertilized,10,1382.937584,1.382937584,6.486115563,
Quali T ,Modern,Fertilized,1,2628.297607,2.628297607,16.24813581,
Quali T ,Modern,Fertilized,2,1543.591749,1.543591749,8.388186282,
Quali T ,Modern,Fertilized,3,2716.866835,2.716866835,14.785461,
Quali T ,Modern,Fertilized,4,1833.955926,1.833955926,14.00518782,
Quali T ,Modern,Fertilized,5,3294.448393,3.294448393,29.06625928,
Quali T ,Modern,Fertilized,6,1903.552052,1.903552052,13.09548634,
Quali T ,Modern,Fertilized,7,1404.223877,1.404223877,8.774152473,
Quali T ,Modern,Fertilized,8,1303.008923,1.303008923,9.230906113,
Quali T ,Modern,Fertilized,9,2493.314803,2.493314803,17.29587546,
Quali T ,Modern,Fertilized,10,3156.314796,3.156314796,14.61626256,
Line 1,Modern,Unfertilized,1,2310.317625,2.310317625,12.1187711,
Line 1,Modern,Unfertilized,2,2198.270989,2.198270989,11.07598838,
Line 1,Modern,Unfertilized,3,1438.347196,1.438347196,7.815115655,
Line 1,Modern,Unfertilized,4,2162.956519,2.162956519,11.28890266,
Line 1,Modern,Unfertilized,5,2968.191503,2.968191503,6.963080447,
Line 1,Modern,Unfertilized,6,1887.711226,1.887711226,10.41903334,
Line 1,Modern,Unfertilized,7,1504.279819,1.504279819,6.916227324,
Line 1,Modern,Unfertilized,8,998.2165379,0.998216538,5.177349895,
Line 1,Modern,Unfertilized,9,1220.170656,1.220170656,5.71247296,
Line 1,Modern,Unfertilized,10,1209.65258,1.20965258,5.266101542,
Line 1,Modern,Fertilized,1,2905.879508,2.905879508,23.44434528,
Line 1,Modern,Fertilized,2,1452.17477,1.45217477,10.14968512,
Line 1,Modern,Fertilized,3,1351.473167,1.351473167,12.03784179,
Line 1,Modern,Fertilized,4,1268.649981,1.268649981,11.04791149,
